country_code,country_name,issuer,instrument_type,isin,coupon_percent,maturity_date,outstanding_eur,source_name,source_url,data_status
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25000,2.200000,2028-04-13,25000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22130,2.500000,2028-06-14,22000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001135085,4.750000,2028-07-04,13750000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102457,0.250000,2028-08-15,28500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,SCHATZ,DE000BU22148,2.700000,2028-09-13,17000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25018,2.400000,2028-10-19,29500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102556,0.000000,2028-11-15,27000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102465,0.250000,2029-02-15,29500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25026,2.100000,2029-04-12,25000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU35025,2.100000,2029-04-12,8000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102473,0.000000,2029-08-15,29500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
