country_code,country_name,issuer,instrument_type,isin,description,annual_coupon_percent,periodic_coupon_percent,coupon_frequency,accrual_start_date,first_coupon_date,maturity_date,day_count_convention,currency,source_name,data_status
IT,Italy,Republic of Italy,BTP,IT0005340929,"Btp Tf 2,80% Dc28 Eur",,1.400000,Semestrale,2018-08-01,2018-08-01,2028-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005660052,Btp Fx 2.35% Jan29 Eur,2.350000,1.175000,Semestrale,2025-07-15,2025-07-15,2029-01-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005566408,Btp Fx 4.1% Feb29 Eur,4.100000,,Semestrale,2023-10-02,2023-10-02,2029-02-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005467482,"Btp Tf 0,45% Fb29 Eur",,0.225000,Semestrale,2021-11-15,2021-11-15,2029-02-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005689960,Btp Fx 2.4% Mar29 Eur,2.400000,,Semestrale,2026-01-15,2026-01-15,2029-03-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005495731,"Btp Tf 2,80% Gn29 Eur",,1.400000,Semestrale,2022-05-16,2022-05-16,2029-06-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005584849,Btp Fx 3.35% Jul29 Eur,3.350000,1.675000,Semestrale,2024-03-01,2024-03-01,2029-07-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005365165,"Btp Tf 3,00% Ag29 Eur",,1.500000,Semestrale,2019-02-01,2019-02-01,2029-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005716839,Btp Fx 3% Sep29 Eur,3.000000,0.750000,Semestrale,2026-06-15,2026-06-15,2029-09-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005611055,Btp Fx 3% Oct29 Eur,3.000000,1.500000,Semestrale,2024-09-02,2024-09-02,2029-10-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0001278511,"Btp-1nv29 5,25%",,2.625000,Semestrale,1998-11-01,1998-11-01,2029-11-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005519787,"Btp Tf 3,85% Dc29 Eur",,1.925000,Semestrale,2022-11-15,2022-11-15,2029-12-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005024234,"Btp Tf 3,50% Mz30 Eur",,1.750000,Semestrale,2014-03-01,2014-03-01,2030-03-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005583486,Btp Valore Sc Mz30 Eur,3.250000,0.812500,Trimestrale,2024-03-05,2024-03-05,2030-03-05,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005383309,"Btp Tf 1,35% Ap30 Eur",,0.675000,Semestrale,2019-09-01,2019-09-01,2030-04-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005594483,Btp Valore Sc Mg30 Eur,3.350000,0.837500,Trimestrale,2024-05-14,2024-05-14,2030-05-14,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005542797,"Btp Tf 3,7% Gn30 Eur",,1.850000,Semestrale,2023-04-17,2023-04-17,2030-06-15,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005637399,Btp Fx 2.95% Jul30 Eur,2.950000,1.475000,Semestrale,2025-03-03,2025-03-03,2030-07-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005415291,Btp Futura Lg30 Eur,,0.650000,Semestrale,2020-07-14,2020-07-14,2030-07-14,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005403396,"Btp Tf 0,95% Ag30 Eur",,0.475000,Semestrale,2020-03-01,2020-03-01,2030-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005654642,Btp Fx 2.7% Oct30 Eur,2.700000,1.350000,Semestrale,2025-06-11,2025-06-11,2030-10-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005561888,Btp Fx 4% Nov30 Eur,4.000000,2.000000,Semestrale,2023-09-15,2023-09-15,2030-11-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005413171,"Btp Tf 1,65% Dc30 Eur",,0.825000,Semestrale,2020-06-01,2020-06-01,2030-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005671273,Btp Fx 2.85% Feb31 Eur,2.850000,1.425000,Semestrale,2025-10-01,2025-10-01,2031-02-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005580094,Btp Fx 3.5% Feb31 Eur,3.500000,1.750000,Semestrale,2024-01-16,2024-01-16,2031-02-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005422891,"Btp Tf 0,90% Ap31 Eur",,0.450000,Semestrale,2020-10-01,2020-10-01,2031-04-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0001444378,Btp-1mg31 6%,,3.000000,Semestrale,1999-11-01,1999-11-01,2031-05-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005707614,Btp Fx 3.15% Jun31 Eur,3.150000,1.575000,Semestrale,2026-05-04,2026-05-04,2031-06-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005595803,Btp Fx 3.45% Jul31 Eur,3.450000,1.725000,Semestrale,2024-05-15,2024-05-15,2031-07-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005436693,"Btp Tf 0,6% Ag31 Eur",,0.300000,Semestrale,2021-02-01,2021-02-01,2031-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005542359,Btpgreen 4%Ot31eur,,2.000000,Semestrale,2023-04-13,2023-04-13,2031-10-30,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005619546,Btp Fx 3.15% Nov31 Eur,3.150000,1.575000,Semestrale,2024-10-29,2024-10-29,2031-11-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005449969,"Btp Tf 0,95% Dc31 Eur",,0.475000,Semestrale,2021-06-01,2021-06-01,2031-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005094088,"Btp Tf 1,65% Mz32 Eur",,0.825000,Semestrale,2015-03-01,2015-03-01,2032-03-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005696338,Btp Valore Sc Mar32 Eur,2.600000,0.650000,Trimestrale,2026-03-10,2026-03-10,2032-03-10,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005466013,"Btp Tf 0,95% Gn32 Eur",,0.475000,Semestrale,2021-11-01,2021-11-01,2032-06-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005647265,Btp Fx 3.25% Jul32 Eur,3.250000,1.625000,Semestrale,2025-04-25,2025-04-25,2032-07-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005672024,Btp Valore Sc Ot32 Eur,2.600000,0.650000,Trimestrale,2025-10-28,2025-10-28,2032-10-28,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005668220,Btp Fx 3.25% Nov32 Eur,3.250000,1.625000,Semestrale,2025-09-09,2025-09-09,2032-11-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005494239,"Btp Tf 2,5% Dc32 Eur",,1.250000,Semestrale,2022-05-03,2022-05-03,2032-12-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0003256820,"Btp-1fb33 5,75%",,2.875000,Semestrale,2002-02-01,2002-02-01,2033-02-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005634800,Btp Piu' Sc Fb33 Eur,2.850000,0.712500,Trimestrale,2025-02-25,2025-02-25,2033-02-25,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
